page,location,text,char_count,typography_variant,text_source
+not-found,Main message,Page Not Found,14,premiumHero,inline string
+not-found,Main message,The page you are looking for does not exist.,44,bodyLarge,inline string
+not-found,Primary action button,Return To App,13,StandardAppButton/primary,inline string
(auth)/welcome,Hero tagline,NEVER MISS A MOMENT,19,premiumEmphasis,inline string
(auth)/welcome,App name,Eye Doo,7,premiumHero,inline string
(auth)/welcome,Hero subtitle,Plan perfect events with intelligent tracking and seamless coordination,71,titleSmall,inline string
(auth)/welcome,Primary CTA,Get Started,11,StandardAppButton/primary,inline string
(auth)/welcome,Secondary CTA,Sign In,7,StandardAppButton/secondary,inline string
(auth)/welcome,Footer link,Design System Preview,21,labelMedium,inline string
(auth)/sign-in,Header,WELCOME BACK,12,mono,inline string
(auth)/sign-in,Header,Sign In,7,displayMedium,inline string
(auth)/sign-in,Divider label,OR,2,labelSmall,inline string
(auth)/sign-in,Footer button,Don't have an account? Sign up,30,StandardAppButton/tertiary,inline string
(auth)/sign-in,Footer button,Forgot Password?,16,StandardAppButton/tertiary,inline string
(auth)/sign-in,Social login dialog action,Cancel,6,StandardAppDialog action,inline string
(auth)/sign-in,Social login dialog action,Sign in with {provider},23,StandardAppDialog action,inline template
(auth)/register,Header,GET STARTED,11,titleSmall,inline string
(auth)/register,Header,Create Account,14,premiumHero,inline string
(auth)/register,Header subtitle,Join Eye-Doo to plan your perfect event,39,titleSmall,inline string
(auth)/register,Footer button,Already have an account? Sign in,32,StandardAppButton/tertiary,inline string
(auth)/reset-password,Header,RECOVER ACCESS,14,titleSmall,inline string
(auth)/reset-password,Header,Forgot Password?,16,displayMedium,inline string
(auth)/reset-password,Header subtitle,Enter your email to receive reset instructions,46,bodyLarge,inline string
(auth)/reset-password,Footer button,Back to Sign In,15,StandardAppButton/tertiary,inline string
(auth)/reset-password-confirm,Invalid link title,⚠️ Invalid Link,15,displaySmall,inline string
(auth)/reset-password-confirm,Invalid link body,This reset link has expired or is invalid. Please request a new one.,68,bodyMedium,inline string
(auth)/reset-password-confirm,Invalid link action,Request New Link,16,StandardAppButton/primary,inline string
(auth)/reset-password-confirm,Header,New Password,12,displayMedium,inline string
(auth)/reset-password-confirm,Header subtitle,Create a new password for {email},33,bodyLarge,inline template
(auth)/reset-password-confirm,Header subtitle,Secure your account with a new password,39,bodyLarge,inline string
(auth)/terms-of-service,Hero emoji,📄,1,StandardAppText/default,inline string
(auth)/terms-of-service,Hero title,Terms of Service,16,headlineLarge,inline string
(auth)/terms-of-service,Card title,Terms of Service for Eye-Doo,28,headlineSmall,inline string
(auth)/terms-of-service,Card body,"Welcome to Eye-Doo. By accessing or using our mobile application, you agree to be bound
by these Terms of Service.

1. Acceptance of Terms
By creating an account, you agree to comply with all applicable laws and regulations.

2. User Accounts
You are responsible for maintaining the confidentiality of your account credentials and
for all activities that occur under your account.

3. Privacy
Your privacy is important to us. Please review our Privacy Policy to understand how we
collect and use your information.

4. User Conduct
You agree not to use the service for any unlawful purpose or in any way that could
damage, disable, or impair the service.

5. Intellectual Property
All content, features, and functionality of the service are owned by Eye-Doo and are
protected by international copyright, trademark, and other intellectual property laws.

6. Limitation of Liability
Eye-Doo shall not be liable for any indirect, incidental, special, consequential, or
punitive damages resulting from your use of the service.

7. Changes to Terms
We reserve the right to modify these terms at any time. We will notify users of any
material changes by posting the updated terms on this page.",1186,bodyMedium,inline string
(auth)/terms-of-service,Primary action,Agree & Continue,16,StandardAppButton/primary,inline string
(auth)/terms-of-service,Secondary action,View Privacy Policy,19,StandardAppButton/tertiary,inline string
(auth)/terms-of-service,Tertiary action,Cancel,6,StandardAppButton/tertiary,inline string
(auth)/privacy-policy,Hero emoji,🔒,1,StandardAppText/default,inline string
(auth)/privacy-policy,Hero title,Privacy Policy,14,headlineLarge,inline string
(auth)/privacy-policy,Card title,Your Privacy Matters,20,headlineSmall,inline string
(auth)/privacy-policy,Card body,"This Privacy Policy describes how Eye-Doo collects, uses, and discloses your Personal
Information.

1. Information We Collect
We collect information you provide directly to us, such as when you create an account,
update your profile, or use our services.

2. How We Use Information
We use the information we collect to provide, maintain, and improve our services.

3. Information Sharing
We do not sell, trade, or rent your personal information to third parties. We may share
your information only as described in this policy.

4. Data Security
We implement appropriate technical and organizational measures to protect your personal
information against unauthorized access, alteration, disclosure, or destruction.

5. Your Rights
You have the right to access, update, or delete your personal information at any time
through your account settings.

6. Changes to This Policy
We may update this Privacy Policy from time to time. We will notify you of any changes
by posting the new Privacy Policy on this page.",1008,bodyMedium,inline string
(auth)/privacy-policy,Secondary action,View Terms of Service,21,StandardAppButton/tertiary,inline string
(auth)/privacy-policy,Primary action,Back,4,StandardAppButton/primary,inline string
(auth)/design-system-preview,Header,Design System Preview,21,premiumHero,inline string
(auth)/design-system-preview,Header subtitle,"Temporary screen to review typography, components, variants, and options.",73,premiumEmphasis,inline string
(auth)/design-system-preview,Section header,Typography,10,titleMedium,inline string
(auth)/design-system-preview,Typography sample label,Display Large,13,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Display Medium,14,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Display Small,13,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Headline Large,14,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Headline Medium,15,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Headline Small,14,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Title Large,11,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Title Medium,12,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Title Small,11,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Body Large,10,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Body Medium,11,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Body Small,10,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Label Large,11,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Label Medium,12,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Label Small,11,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Technical,9,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Premium Hero,12,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Premium Emphasis,16,StandardAppText/{variant},inline array
(auth)/design-system-preview,Typography sample label,Premium Readout,15,StandardAppText/{variant},inline array
(auth)/design-system-preview,Section header,Color Tokens,12,titleMedium,inline string
(auth)/design-system-preview,Section helper,"Brand, technical, and feedback accents across core tokens.",58,bodySmall,inline string
(auth)/design-system-preview,Swatch label,Primary,7,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Primary Soft,12,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Primary Muted,13,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Tech Teal,9,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Teal Soft,9,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Teal Muted,10,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Amber,5,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Amber Soft,10,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Amber Muted,11,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Success,7,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Error,5,labelSmall,inline string
(auth)/design-system-preview,Swatch label,Info,4,labelSmall,inline string
(auth)/design-system-preview,Section header,Buttons,7,titleMedium,inline string
(auth)/design-system-preview,Button sample,Primary Action,14,StandardAppButton,inline string
(auth)/design-system-preview,Button sample,Primary Action Full Width,25,StandardAppButton,inline string
(auth)/design-system-preview,Button sample,Secondary Action,16,StandardAppButton,inline string
(auth)/design-system-preview,Button sample,Tertiary Action,15,StandardAppButton,inline string
(auth)/design-system-preview,Button sample,Disabled Button,15,StandardAppButton,inline string
(auth)/design-system-preview,Section header,Inputs & Selection,18,titleMedium,inline string
(auth)/design-system-preview,Input label,Text Input,10,StandardAppTextInput label,inline string
(auth)/design-system-preview,Input placeholder,Preview input styles,20,StandardAppTextInput placeholder,inline string
(auth)/design-system-preview,Input label,Success Input,13,StandardAppTextInput label,inline string
(auth)/design-system-preview,Input placeholder,Success state,13,StandardAppTextInput placeholder,inline string
(auth)/design-system-preview,Input value,Looks good,10,StandardAppTextInput value,inline string
(auth)/design-system-preview,Input success text,Success helper text,19,StandardAppTextInput successText,inline string
(auth)/design-system-preview,Input label,Error Input,11,StandardAppTextInput label,inline string
(auth)/design-system-preview,Input placeholder,Error state,11,StandardAppTextInput placeholder,inline string
(auth)/design-system-preview,Input value,Needs attention,15,StandardAppTextInput value,inline string
(auth)/design-system-preview,Input error text,Error helper text,17,StandardAppTextInput errorText,inline string
(auth)/design-system-preview,Checkbox label,Checkbox option,15,StandardAppCheckbox label,inline string
(auth)/design-system-preview,Switch label,Switch option,13,StandardAppSwitch label,inline string
(auth)/design-system-preview,Segmented button label,Primary,7,StandardAppSegmentedButtons label,inline array
(auth)/design-system-preview,Segmented button label,Secondary,9,StandardAppSegmentedButtons label,inline array
(auth)/design-system-preview,Segmented button label,Tertiary,8,StandardAppSegmentedButtons label,inline array
(auth)/design-system-preview,Chip label,Outlined,8,StandardAppChip,inline string
(auth)/design-system-preview,Chip label,Flat,4,StandardAppChip,inline string
(auth)/design-system-preview,Chip label,Selected,8,StandardAppChip,inline string
(auth)/design-system-preview,Section header,Project Modals,14,titleMedium,inline string
(auth)/design-system-preview,Section helper,Launch project-related modals with placeholder data to preview form layouts.,76,bodySmall,inline string
(auth)/design-system-preview,Subsection label,Project Details,15,labelLarge,inline string
(auth)/design-system-preview,Button label,Project Form,12,StandardAppButton,inline string
(auth)/design-system-preview,Subsection label,Project Lists,13,labelLarge,inline string
(auth)/design-system-preview,Button label,Task Item,9,StandardAppButton,inline string
(auth)/design-system-preview,Button label,Kit Item,8,StandardAppButton,inline string
(auth)/design-system-preview,Button label,Couple Shot,11,StandardAppButton,inline string
(auth)/design-system-preview,Button label,Group Shot,10,StandardAppButton,inline string
(auth)/design-system-preview,Button label,Tag,3,StandardAppButton,inline string
(auth)/design-system-preview,Button label,Note,4,StandardAppButton,inline string
(auth)/design-system-preview,Button label,Vendor,6,StandardAppButton,inline string
(auth)/design-system-preview,Section header,Enhanced Modal,14,titleMedium,inline string
(auth)/design-system-preview,Section helper,Base modal surface used by the form modals above and the cover image picker below.,82,bodySmall,inline string
(auth)/design-system-preview,Button label,Open Enhanced Modal,19,StandardAppButton,inline string
(auth)/design-system-preview,Subsection label,Project Cover Picker,20,labelLarge,inline string
(auth)/design-system-preview,Section header,Feedback & Badges,17,titleMedium,inline string
(auth)/design-system-preview,Alert title,Success,7,StandardAppAlert title,inline string
(auth)/design-system-preview,Alert message,This is a success alert.,24,StandardAppAlert message,inline string
(auth)/design-system-preview,Alert title,Warning,7,StandardAppAlert title,inline string
(auth)/design-system-preview,Alert message,This is a warning alert.,24,StandardAppAlert message,inline string
(auth)/design-system-preview,Alert title,Error,5,StandardAppAlert title,inline string
(auth)/design-system-preview,Alert message,This is an error alert.,23,StandardAppAlert message,inline string
(auth)/design-system-preview,Alert title,Info,4,StandardAppAlert title,inline string
(auth)/design-system-preview,Alert message,This is an info alert.,22,StandardAppAlert message,inline string
(auth)/design-system-preview,Status badge label,Neutral,7,StandardAppStatusBadge label,inline string
(auth)/design-system-preview,Status badge label,Success,7,StandardAppStatusBadge label,inline string
(auth)/design-system-preview,Status badge label,Warning,7,StandardAppStatusBadge label,inline string
(auth)/design-system-preview,Status badge label,Error,5,StandardAppStatusBadge label,inline string
(auth)/design-system-preview,Section header,Surfaces & Elevation,20,titleMedium,inline string
(auth)/design-system-preview,Surface label,Low,3,labelMedium,inline string
(auth)/design-system-preview,Surface label,Medium,6,labelMedium,inline string
(auth)/design-system-preview,Surface label,High,4,labelMedium,inline string
(auth)/design-system-preview,Surface label,Glass,5,labelMedium,inline string
(auth)/design-system-preview,Section helper,Use this screen to validate component variants and spacing as styles evolve.,76,bodySmall,inline string
(auth)/design-system-preview,Section header,Premium Accents,15,titleMedium,inline string
(auth)/design-system-preview,Surface label,Primary Glow,12,labelMedium,inline string
(auth)/design-system-preview,Surface helper,Elevated surface with brand glow and glass overlay.,51,bodySmall,inline string
(auth)/design-system-preview,Enhanced modal title,Enhanced Modal,14,EnhancedModal title,inline string
